Effective date ,S&P 500 (TR),S&P 500 (Net TR),S&P 500
5/2/2016,3918.53,3549.61,2081.43
5/3/2016,3884.63,3518.87,2063.37
5/4/2016,3862.4,3498.51,2051.12
5/5/2016,3862.4,3498.26,2050.63
5/6/2016,3875.18,3509.7,2057.14
5/9/2016,3878.14,3512.37,2058.69
5/10/2016,3926.63,3556.26,2084.39
5/11/2016,3891.13,3523.56,2064.46
5/12/2016,3890.85,3523.2,2064.11
5/13/2016,3858.17,3493.52,2046.61
5/16/2016,3896.36,3527.99,2066.66
5/17/2016,3860.88,3495.55,2047.21
5/18/2016,3862.25,3496.63,2047.63
5/19/2016,3847.97,3483.7,2040.04
5/20/2016,3871.75,3505.05,2052.32
5/23/2016,3863.82,3497.84,2048.04
5/24/2016,3916.77,3545.74,2076.06
5/25/2016,3944.33,3570.63,2090.54
5/26/2016,3944.05,3570.23,2090.1
5/27/2016,3961.67,3585.98,2099.06
5/31/2016,3957.95,3582.55,2096.96
6/1/2016,3963.1,3587.03,2099.33
6/2/2016,3974.76,3597.46,2105.26
6/3/2016,3963.23,3587.01,2099.13
6/6/2016,3982.74,3604.64,2109.41
6/7/2016,3987.96,3609.34,2112.13
6/8/2016,4001.98,3621.81,2119.12
6/9/2016,3995.28,3615.7,2115.48
6/10/2016,3958.68,3582.56,2096.07
6/13/2016,3927.73,3554.23,2079.06
6/14/2016,3920.93,3548,2075.32
6/15/2016,3914.02,3541.67,2071.5
6/16/2016,3926.93,3553.18,2077.99
6/17/2016,3914.15,3541.61,2071.22
6/20/2016,3936.91,3562.19,2083.25
6/21/2016,3947.94,3572.08,2088.9
6/22/2016,3941.45,3566.2,2085.45
6/23/2016,3994.18,3613.89,2113.32
6/24/2016,3850.7,3484.07,2037.41
6/27/2016,3781.02,3421.02,2000.54
6/28/2016,3849.05,3482.35,2036.09
6/29/2016,3915.1,3541.98,2070.77
6/30/2016,3968.21,3590.02,2098.86
7/1/2016,3976.68,3597.49,2102.95
7/5/2016,3949.72,3573.02,2088.55
7/6/2016,3972.26,3593.04,2099.73
7/7/2016,3969.19,3590.15,2097.9
7/8/2016,4029.75,3644.92,2129.9
7/11/2016,4043.49,3657.35,2137.16
7/12/2016,4071.85,3683,2152.14
7/13/2016,4072.77,3683.73,2152.43
7/14/2016,4094.28,3703.16,2163.75
7/15/2016,4090.49,3699.73,2161.74
7/18/2016,4100.4,3708.65,2166.89
7/19/2016,4094.61,3703.39,2163.78
7/20/2016,4112.61,3719.52,2173.02
7/21/2016,4097.82,3706.13,2165.17
7/22/2016,4116.5,3723.02,2175.03
7/25/2016,4104.13,3711.82,2168.48
7/26/2016,4105.57,3713.1,2169.18
7/27/2016,4100.81,3708.75,2166.58
7/28/2016,4107.75,3714.93,2170.06
7/29/2016,4114.51,3721.03,2173.6
8/1/2016,4109.28,3716.3,2170.84
8/2/2016,4083.25,3692.73,2157.03
8/3/2016,4097.3,3705.1,2163.79
8/4/2016,4099.21,3706.54,2164.25
8/5/2016,4134.56,3738.48,2182.87
8/8/2016,4131.19,3735.33,2180.89
8/9/2016,4132.96,3736.88,2181.74
8/10/2016,4122.65,3727.15,2175.49
8/11/2016,4142.72,3745.15,2185.79
8/12/2016,4139.63,3742.3,2184.05
8/15/2016,4151.69,3753.06,2190.15
8/16/2016,4129.68,3732.96,2178.15
8/17/2016,4138.42,3740.59,2182.22
8/18/2016,4147.64,3748.89,2187.02
8/19/2016,4142.23,3743.84,2183.87
8/22/2016,4139.97,3741.79,2182.64
8/23/2016,4148.16,3749.16,2186.9
8/24/2016,4126.65,3729.65,2175.44
8/25/2016,4121.09,3724.61,2172.47
8/26/2016,4114.68,3718.79,2169.04
8/29/2016,4136.75,3738.58,2180.38
8/30/2016,4129.34,3731.71,2176.12
8/31/2016,4120.29,3723.32,2170.95
9/1/2016,4120.17,3723.2,2170.86
9/2/2016,4137.7,3738.98,2179.98
9/6/2016,4150.11,3750.17,2186.48
9/7/2016,4150.51,3750.26,2186.16
9/8/2016,4141.46,3742.04,2181.3
9/9/2016,4039.95,3650.31,2127.81
9/12/2016,4099.47,3704.03,2159.04
9/13/2016,4039.92,3649.88,2127.02
9/14/2016,4037.83,3647.91,2125.77
9/15/2016,4079.32,3685.22,2147.26
9/16/2016,4063.97,3671.34,2139.16
9/19/2016,4063.94,3671.3,2139.12
9/20/2016,4065.2,3672.43,2139.76
9/21/2016,4109.63,3712.55,2163.12
9/22/2016,4136.41,3736.73,2177.18
9/23/2016,4112.69,3715.29,2164.69
9/26/2016,4077.71,3683.6,2146.1
9/27/2016,4104.18,3707.46,2159.93
9/28/2016,4126.83,3727.67,2171.37
9/29/2016,4088.47,3692.99,2151.13
9/30/2016,4121.06,3722.43,2168.27
10/3/2016,4108.13,3710.61,2161.2
10/4/2016,4088.17,3692.47,2150.49
10/5/2016,4107.4,3709.39,2159.73
10/6/2016,4109.49,3711.25,2160.77
10/7/2016,4096.25,3699.26,2153.74
10/10/2016,4115.12,3716.3,2163.66
10/11/2016,4063.92,3670.05,2136.73
10/12/2016,4068.92,3674.48,2139.18
10/13/2016,4056.45,3663.18,2132.55
10/14/2016,4057.28,3663.92,2132.98
10/17/2016,4045.07,3652.87,2126.5
10/18/2016,4069.99,3675.37,2139.6
10/19/2016,4079.5,3683.8,2144.29
10/20/2016,4074.18,3678.92,2141.34
10/21/2016,4073.85,3678.62,2141.16
10/24/2016,4093.22,3696.11,2151.33
10/25/2016,4077.8,3682.15,2143.16
10/26/2016,4070.76,3675.77,2139.43
10/27/2016,4058.75,3664.88,2133.04
10/28/2016,4046.36,3653.64,2126.41
10/31/2016,4045.89,3653.21,2126.15
11/1/2016,4018.47,3628.44,2111.72
11/2/2016,3992.76,3605.09,2097.94
11/3/2016,3976.56,3590.06,2088.66
11/4/2016,3970.02,3584.13,2085.18
11/7/2016,4058.3,3663.82,2131.52
11/8/2016,4075.61,3678.9,2139.56
11/9/2016,4121.03,3719.83,2163.26
11/10/2016,4129.46,3727.33,2167.48
11/11/2016,4123.69,3722.12,2164.45
11/14/2016,4123.81,3722.07,2164.2
11/15/2016,4155.62,3750.52,2180.39
11/16/2016,4150.21,3745.32,2176.94
11/17/2016,4169.87,3762.99,2187.12
11/18/2016,4160.58,3754.43,2181.9
11/21/2016,4191.68,3782.49,2198.18
11/22/2016,4200.95,3790.79,2202.94
11/23/2016,4204.49,3793.95,2204.72
11/25/2016,4221.02,3808.85,2213.35
11/28/2016,4199.39,3789.18,2201.72
11/29/2016,4205.99,3794.86,2204.66
11/30/2016,4195.73,3785.37,2198.81
12/1/2016,4181.15,3772.17,2191.08
12/2/2016,4182.81,3773.67,2191.95
12/5/2016,4207.57,3795.89,2204.71
12/6/2016,4222.04,3808.91,2212.23
12/7/2016,4278.44,3859.57,2241.35
12/8/2016,4288.1,3868.17,2246.19
12/9/2016,4313.61,3891.17,2259.53
12/12/2016,4308.94,3886.9,2256.96
12/13/2016,4337.86,3912.78,2271.72
12/14/2016,4302.93,3881.2,2253.28
12/15/2016,4319.84,3896.4,2262.03
12/16/2016,4312.4,3889.65,2258.07
12/19/2016,4321.02,3897.4,2262.53
12/20/2016,4337.36,3911.97,2270.76
12/21/2016,4326.85,3902.45,2265.18
12/22/2016,4319.33,3895.52,2260.96
12/23/2016,4325.17,3900.67,2263.79
12/27/2016,4334.93,3909.46,2268.88
12/28/2016,4299.45,3877.27,2249.92
12/29/2016,4298.39,3876.25,2249.26
12/30/2016,4278.66,3858.41,2238.83
1/3/2017,4315.08,3891.22,2257.83
1/4/2017,4340.75,3914.11,2270.75
1/5/2017,4337.45,3911.12,2269
1/6/2017,4354.05,3925.72,2276.98
1/9/2017,4338.62,3911.81,2268.9
1/10/2017,4338.64,3911.82,2268.9
1/11/2017,4351.32,3923.14,2275.32
1/12/2017,4342.09,3914.79,2270.44
1/13/2017,4350.11,3922.02,2274.64
1/17/2017,4337.2,3910.39,2267.89
1/18/2017,4345.57,3917.73,2271.89
1/19/2017,4329.96,3903.64,2263.69
1/20/2017,4344.67,3916.87,2271.31
1/23/2017,4333.1,3906.41,2265.2
1/24/2017,4361.56,3932.06,2280.07
1/25/2017,4396.57,3963.62,2298.37
1/26/2017,4393.43,3960.76,2296.68
1/27/2017,4389.85,3957.48,2294.69
1/30/2017,4363.67,3933.82,2280.9
1/31/2017,4359.81,3930.34,2278.87
2/1/2017,4362.1,3932.14,2279.55
2/2/2017,4364.85,3934.54,2280.85
2/3/2017,4396.95,3963.37,2297.42
2/6/2017,4387.67,3955,2292.56
2/7/2017,4388.87,3956.02,2293.08
2/8/2017,4393.31,3959.65,2294.67
2/9/2017,4419.4,3982.95,2307.87
2/10/2017,4435.42,3997.31,2316.1
2/13/2017,4459.83,4019,2328.25
2/14/2017,4478.98,4035.92,2337.58
2/15/2017,4501.99,4056.47,2349.25
2/16/2017,4498.56,4053.26,2347.22
2/17/2017,4506.2,4060.12,2351.16
2/21/2017,4533.46,4084.68,2365.38
2/22/2017,4528.97,4080.51,2362.82
2/23/2017,4531.39,4082.55,2363.81
2/24/2017,4539.25,4089.34,2367.34
2/27/2017,4544.51,4093.91,2369.75
2/28/2017,4532.93,4083.43,2363.64
3/1/2017,4595.73,4139.79,2395.96
3/2/2017,4569.17,4115.77,2381.92
3/3/2017,4571.6,4117.92,2383.12
3/6/2017,4556.72,4104.49,2375.31
3/7/2017,4543.75,4092.73,2368.39
3/8/2017,4534.68,4084.2,2362.98
3/9/2017,4538.36,4087.5,2364.87
3/10/2017,4553.28,4100.91,2372.6
3/13/2017,4556.44,4103.36,2373.47
3/14/2017,4541.26,4089.63,2365.45
3/15/2017,4579.44,4123.98,2385.26
3/16/2017,4572.16,4117.37,2381.38
3/17/2017,4566.17,4111.97,2378.25
3/20/2017,4557.12,4103.79,2373.47
3/21/2017,4500.98,4053.12,2344.02
3/22/2017,4509.65,4060.88,2348.45
3/23/2017,4504.92,4056.62,2345.96
3/24/2017,4501.11,4053.18,2343.98
3/27/2017,4496.53,4049.06,2341.59
3/28/2017,4529.17,4078.44,2358.57
3/29/2017,4535.01,4083.45,2361.13
3/30/2017,4548.46,4095.52,2368.06
3/31/2017,4538.21,4086.29,2362.72
4/3/2017,4530.98,4079.71,2358.84
4/4/2017,4534.25,4082.46,2360.16
4/5/2017,4520.86,4070.28,2352.95
4/6/2017,4530.93,4078.98,2357.49
4/7/2017,4527.2,4075.63,2355.54
4/10/2017,4530.57,4078.59,2357.16
4/11/2017,4524.71,4073.14,2353.78
4/12/2017,4507.76,4057.87,2344.93
4/13/2017,4477.07,4030.23,2328.95
4/17/2017,4515.65,4064.96,2349.01
4/18/2017,4502.66,4053.23,2342.19
4/19/2017,4495.56,4046.67,2338.17
4/20/2017,4529.65,4077.32,2355.84
4/21/2017,4515.9,4064.95,2348.69
4/24/2017,4564.93,4109.06,2374.15
4/25/2017,4592.74,4134.1,2388.61
4/26/2017,4590.56,4132.12,2387.45
4/27/2017,4593.57,4134.7,2388.77
4/28/2017,4584.82,4126.81,2384.2
5/1/2017,4592.78,4133.97,2388.33
